nickname,telno,email,chatlog
Charlie Root,,root@example.com,BSDが動くスマホはありますか
Alan Turing,000-0000-0000,,エニグマが解けるスマホはありますか
karisuma,5050505,,ull
karisuma,5050505,,ull
ka,,a@a.com,ull
ka,,a@a.com,ull
lo,,pp,ull
lo,,pp,ull
test,2000000000,,ull
test,2000000000,,ull
logtest1,5,,お問い合わせの内容
logtest1,5,,お問い合わせの内容
testkk,956,,ull
